5
2016-10-10 09:00:00+02;2535
2016-10-10 09:15:00+02;2682
2016-10-10 09:30:00+02;2796
2016-10-10 09:50:00+02;3103
2016-10-10 10:00:00+02;3254
2016-10-10 10:29:00+02;3411
2016-10-10 10:52:00+02;3837
2016-10-10 11:03:00+02;3979
2016-10-10 11:26:00+02;4487
2016-10-10 11:37:00+02;4643
2016-10-10 11:49:00+02;4708
2016-10-10 12:09:00+02;4959
2016-10-10 12:23:00+02;5096
2016-10-10 12:43:00+02;5418
2016-10-10 12:57:00+02;5757
2016-10-10 13:08:00+02;6101
2016-10-10 13:30:00+02;6309
2016-10-10 13:55:00+02;6423
2016-10-10 14:05:00+02;6289
