8
2017-06-12 17:00:00+02;11066
2017-06-12 17:12:00+02;11048
2017-06-12 17:35:00+02;11057
2017-06-12 17:54:00+02;10978
2017-06-12 18:11:00+02;10986
2017-06-12 18:24:00+02;10779
2017-06-12 18:48:00+02;10263
2017-06-12 19:03:00+02;10067
2017-06-12 19:22:00+02;9644
2017-06-12 19:33:00+02;9492
2017-06-12 19:48:00+02;9444
2017-06-12 20:14:00+02;9167
2017-06-12 20:28:00+02;8949
2017-06-12 20:57:00+02;7871
2017-06-12 21:08:00+02;7401
2017-06-12 21:35:00+02;6299
2017-06-12 21:50:00+02;5912
2017-06-12 22:20:00+02;4708
2017-06-12 23:18:00+02;3589
2017-06-12 23:35:00+02;3249
2017-06-13 00:02:00+02;2552
