5
2016-05-01 10:00:00+02;5512
2016-05-01 10:04:00+02;5474
2016-05-01 10:12:00+02;5477
2016-05-01 10:16:00+02;5419
2016-05-01 10:33:00+02;5311
2016-05-01 10:40:00+02;5231
2016-05-01 10:43:00+02;5248
2016-05-01 10:52:00+02;5208
2016-05-01 11:00:00+02;5200
2016-05-01 11:13:00+02;5113
2016-05-01 11:23:00+02;4934
2016-05-01 11:34:00+02;4809
2016-05-01 11:39:00+02;4768
2016-05-01 11:48:00+02;4676
2016-05-01 11:55:00+02;4632
2016-05-01 12:05:00+02;4583
2016-05-01 12:19:00+02;4481
2016-05-01 12:26:00+02;4502
2016-05-01 12:43:00+02;4324
2016-05-01 12:57:00+02;4065
2016-05-01 13:12:00+02;3940
2016-05-01 13:31:00+02;3731
2016-05-01 13:58:00+02;3742
2016-05-01 14:16:00+02;3621
2016-05-01 14:31:00+02;3385
2016-05-01 14:52:00+02;3096
2016-05-01 15:03:00+02;3108
2016-05-01 15:11:00+02;3208
