8
2016-07-02 13:00:00+02;1756
2016-07-02 13:05:00+02;1761
2016-07-02 13:19:00+02;1900
2016-07-02 13:29:00+02;1941
2016-07-02 13:32:00+02;1943
2016-07-02 13:35:00+02;1959
2016-07-02 13:39:00+02;1972
2016-07-02 13:51:00+02;1946
2016-07-02 13:58:00+02;1937
2016-07-02 14:08:00+02;1936
2016-07-02 14:20:00+02;1961
2016-07-02 14:29:00+02;1987
2016-07-02 14:37:00+02;2054
2016-07-02 14:41:00+02;2075
2016-07-02 14:46:00+02;2072
2016-07-02 15:02:00+02;2144
2016-07-02 15:14:00+02;2138
2016-07-02 15:31:00+02;2316
2016-07-02 15:38:00+02;2352
2016-07-02 15:56:00+02;2804
2016-07-02 16:03:00+02;2962
2016-07-02 16:11:00+02;3068
