5
2015-05-01 16:00:00+02;12905
2015-05-01 16:15:00+02;12782
2015-05-01 16:25:00+02;12649
2015-05-01 16:45:00+02;12395
2015-05-01 16:56:00+02;12185
2015-05-01 17:07:00+02;12037
2015-05-01 17:22:00+02;11962
2015-05-01 18:00:00+02;11884
2015-05-01 18:14:00+02;11996
2015-05-01 18:23:00+02;11992
2015-05-01 18:43:00+02;11870
2015-05-01 18:54:00+02;11763
2015-05-01 19:04:00+02;11748
2015-05-01 19:15:00+02;11712
2015-05-01 19:29:00+02;11634
2015-05-01 19:47:00+02;11501
2015-05-01 19:56:00+02;11471
2015-05-01 20:12:00+02;11300
2015-05-01 20:22:00+02;11317
2015-05-01 20:29:00+02;11296
