5
2017-09-19 16:00:00+02;6468
##4min
2017-09-19 16:04:00+02;6515
##5min
2017-09-19 16:11:00+02;6573
##2min
2017-09-19 16:14:00+02;6575
##10min
2017-09-19 16:25:00+02;6657
##10min
2017-09-19 16:33:00+02;6666
##15min
2017-09-19 16:49:00+02;6873
##2min
2017-09-19 16:52:00+02;6874
##15min
2017-09-19 17:09:00+02;7189
##25min
2017-09-19 17:35:00+02;7530
##5min
2017-09-19 17:50:00+02;7564
##5min
2017-09-19 18:01:00+02;7672
##5min
2017-09-19 18:06:00+02;7782
##15min
2017-09-19 18:23:00+02;7981
##10min
2017-09-19 18:33:00+02;7688
##10min
2017-09-19 18:44:00+02;7872
##10min
2017-09-19 18:56:00+02;7608
##5min
2017-09-19 19:00:00+02;7624
##20min
2017-09-19 19:23:00+02;7909
##15min
2017-09-19 19:39:00+02;7788
##30min
2017-09-19 20:09:00+02;7676
##5min
2017-09-19 20:14:00+02;7525
##50min
2017-09-19 21:04:00+02;5707
