01001;01936;Sachsen
01941;01998;Brandenburg
02601;02999;Sachsen
03001;03253;Brandenburg
04001;04579;Sachsen
04581;04639;Thüringen
04641;04889;Sachsen
04891;04938;Brandenburg
06001;06548;Sachsen-Anhalt
06551;06578;Thüringen
06601;06928;Sachsen-Anhalt
07301;07919;Thüringen
07919;07919;Sachsen
07919;07919;Thüringen
07919;07919;Sachsen
07920;07950;Thüringen
07951;07951;Sachsen
07952;07952;Thüringen
07952;07952;Sachsen
07953;07980;Thüringen
07982;07982;Sachsen
07985;07985;Thüringen
07985;07985;Sachsen
07985;07989;Thüringen
08001;09669;Sachsen
10001;14330;Berlin
14401;14715;Brandenburg
14715;14715;Sachsen-Anhalt
14723;16949;Brandenburg
17001;17256;Mecklenburg-Vorpommern
17258;17258;Brandenburg
17258;17259;Mecklenburg-Vorpommern
17261;17291;Brandenburg
17301;17309;Mecklenburg-Vorpommern
17309;17309;Brandenburg
17309;17321;Mecklenburg-Vorpommern
17321;17321;Brandenburg
17321;17322;Mecklenburg-Vorpommern
17326;17326;Brandenburg
17328;17331;Mecklenburg-Vorpommern
17335;17335;Brandenburg
17335;17335;Mecklenburg-Vorpommern
17337;17337;Brandenburg
17337;19260;Mecklenburg-Vorpommern
19271;19273;Niedersachsen
19273;19273;Mecklenburg-Vorpommern
19273;19306;Mecklenburg-Vorpommern
19307;19357;Brandenburg
19357;19417;Mecklenburg-Vorpommern
20001;21037;Hamburg
21039;21039;Schleswig-Holstein
21039;21170;Hamburg
21202;21449;Niedersachsen
21451;21521;Schleswig-Holstein
21522;21522;Niedersachsen
21524;21529;Schleswig-Holstein
21601;21789;Niedersachsen
22001;22113;Hamburg
22113;22113;Schleswig-Holstein
22115;22143;Hamburg
22145;22145;Schleswig-Holstein
22145;22145;Hamburg
22145;22145;Schleswig-Holstein
22147;22786;Hamburg
22801;23919;Schleswig-Holstein
23921;23999;Mecklenburg-Vorpommern
24001;25999;Schleswig-Holstein
26001;27478;Niedersachsen
27483;27498;Schleswig-Holstein
27499;27499;Hamburg
27501;27580;Bremen
27607;27809;Niedersachsen
28001;28779;Bremen
28784;29399;Niedersachsen
29401;29416;Sachsen-Anhalt
29431;31868;Niedersachsen
32001;33829;Nordrhein-Westfalen
34001;34329;Hessen
34331;34353;Niedersachsen
34355;34355;Hessen
34355;34355;Niedersachsen
34356;34399;Hessen
34401;34439;Nordrhein-Westfalen
34441;36399;Hessen
36401;36469;Thüringen
37001;37194;Niedersachsen
37194;37195;Hessen
37197;37199;Niedersachsen
37201;37299;Hessen
37301;37359;Thüringen
37401;37649;Niedersachsen
37651;37688;Nordrhein-Westfalen
37689;37691;Niedersachsen
37692;37696;Nordrhein-Westfalen
37697;38479;Niedersachsen
38481;38489;Sachsen-Anhalt
38501;38729;Niedersachsen
38801;39649;Sachsen-Anhalt
40001;48432;Nordrhein-Westfalen
48442;48465;Niedersachsen
48466;48477;Nordrhein-Westfalen
48478;48480;Niedersachsen
48481;48485;Nordrhein-Westfalen
48486;48488;Niedersachsen
48489;48496;Nordrhein-Westfalen
48497;48531;Niedersachsen
48541;48739;Nordrhein-Westfalen
49001;49459;Niedersachsen
49461;49549;Nordrhein-Westfalen
49551;49849;Niedersachsen
50101;51597;Nordrhein-Westfalen
51598;51598;Rheinland-Pfalz
51601;53359;Nordrhein-Westfalen
53401;53579;Rheinland-Pfalz
53581;53604;Nordrhein-Westfalen
53614;53619;Rheinland-Pfalz
53621;53949;Nordrhein-Westfalen
54181;55239;Rheinland-Pfalz
55240;55252;Hessen
